hour,tree_index,node_id,depth,feature,feature_index,threshold,feature_type,days_back
4,12,1,1,dSocdt_h8_day_minus1,684,-8.02390003,dSocdt,1
4,12,2,1,dSocdt_h2_day_minus2,626,-11.1836004,dSocdt,2
4,13,0,0,day_day_minus1,725,27.0,Date,1
4,13,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
4,13,2,1,dSocdt_h2_day_minus2,626,-9.42669964,dSocdt,2
4,14,0,0,dSocdt_h21_day_minus1,697,-0.778900027,dSocdt,1
4,14,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
4,14,2,1,day_day_minus1,725,24.0,Date,1
4,15,0,0,dSocdt_h5_day_minus1,681,-0.855599999,dSocdt,1
4,15,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
4,15,2,1,dSocdt_h20_day_minus1,696,-6.3744998,dSocdt,1
4,16,0,0,dSocdt_h2_day_minus1,678,-1.8211,dSocdt,1
4,16,1,1,dSocdt_h8_day_minus1,684,-8.02390003,dSocdt,1
4,16,2,1,dSocdt_h2_day_minus2,626,-11.1836004,dSocdt,2
4,17,0,0,day_day_minus1,725,27.0,Date,1
4,17,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
4,17,2,1,Soc_h22_day_minus3,618,98.7546005,Soc,3
4,18,0,0,dSocdt_h21_day_minus1,697,-3.29320002,dSocdt,1
4,18,1,1,dSocdt_h2_day_minus2,626,-11.1836004,dSocdt,2
4,18,2,1,dSocdt_h3_day_minus1,679,-8.85239983,dSocdt,1
4,19,0,0,dSocdt_h6_day_minus2,630,-0.135800004,dSocdt,2
